" ","score","status","future","trend","pressures","resilience"
"Index",64.24,,62.37,,,
"Food Provision",7.35,7.75,6.95,-0.07,,
". Fisheries",2.1,2,2.2,0,31.26,61.27
". Mariculture",25.33,27.43,23.23,-0.33,35.05,55.62
"Artisanal Fishing Opportunity",59.83,56.6,63.06,0.01,29.28,62.85
"Natural Products",68.09,62.33,73.86,0.1,29.94,66.24
"Carbon Storage",49.71,67.58,31.84,-0.96,31.16,65.52
"Coastal Protection",61.21,63.69,58.72,-0.24,39.83,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.16,0.49,,
". Livelihoods",97.75,99.18,96.31,-0.03,37.27,34.54
". Economies",100,100,100,1,35.3,51.69
"Sense of Place",76.99,78.46,75.52,-0.14,,
". Iconic Species",53.98,56.92,51.04,-0.28,38.47,63.53
". Lasting Special Places",100,100,100,0,47.45,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.28,75.66,66.91,-0.31,,
". Habitats",59.56,66.16,52.95,-0.43,34.43,61.67
". Species",83.01,85.17,80.86,-0.19,37.27,60.41
